JobTitle,BasePay,Overtimepay
CHEF,63657.27,2804.62
CHEF,63538.46,4308.74
CHEF,12027.58,609.98
CHEF,63538.46,8701.96
CHEF,63524.04,5789.76
COOK,55007.11,20322.32
COOK,8758.05,280.76
COOK,56231.6,3602.32
COOK,47676.6,3790.92
COOK,3072.58,914.25
COOK,56021.2,19396.23
COOK,56231.6,2714.77
COOK,56429.4,14775.45
COOK,16490.35,4959.15
COOK,11674.15,1080.12
COOK,56219.0,4099.76
COOK,48981.65,10598.99
COOK,54969.2,2723.99
COOK,56257.9,10031.06
COOK,56231.6,8263.17
COOK,49547.43,3274.83
COOK,49835.24,682.23
COOK,56143.74,11865.83
COOK,56231.6,4211.72
COOK,49125.0,4723.49
COOK,20509.1,278.16
COOK,56219.0,13604.75
COOK,37397.3,1912.5
COOK,42803.0,3004.86
COOK,56231.6,9035.46
BAKER,59924.88,3470.2
CLERK,46386.4,623.92
CLERK,39206.4,17362.15
CLERK,46386.4,2716.21
CLERK,37243.6,6201.13
CLERK,32884.94,2274.53
CLERK,6635.75,71.25
CLERK,46387.23,542.54
CLERK,46386.4,262.8
CLERK,46386.4,57036.75
CLERK,4664.5,142.5
CLERK,46405.44,3069.11
CLERK,7820.4,1466.31
CLERK,36581.2,5673.41
CLERK,20832.0,57.5
CLERK,33867.56,12060.66
CLERK,46386.42,834.35
CLERK,34385.19,837.0
CLERK,46386.4,2099.94
CLERK,46387.3,6119.92
CLERK,46463.88,2267.6
CLERK,32810.26,11166.22
CLERK,21513.96,561.72
CLERK,6640.5,142.5
CLERK,34223.79,5599.05
CLERK,17813.8,1009.62
CLERK,46387.4,3859.95
CLERK,46387.36,303.75
CLERK,19198.22,214.95
CLERK,8132.0,926.25
CLERK,46564.43,4684.72
CLERK,32964.4,3973.31
CLERK,46387.41,279.0
CLERK,32839.57,2222.43
CLERK,47591.14,323.67
CLERK,46386.62,3261.25
CLERK,46387.4,2134.82
CLERK,46386.4,2283.08
CLERK,16805.24,2776.57
CLERK,45756.33,1156.61
CLERK,45857.45,722.7
CLERK,41072.52,9645.66
CLERK,45334.38,52.31
CLERK,14752.0,1293.13
PORTER,47123.51,25645.01
PORTER,48279.72,5284.44
PORTER,48472.4,1891.38
PORTER,48472.45,1411.36
PORTER,47597.4,1624.04
PORTER,48472.4,1418.55
PORTER,40684.77,4177.81
PORTER,27934.35,274.5
PORTER,24053.29,544.2
PORTER,48224.11,14413.36
PORTER,47786.48,4167.22
PORTER,41843.28,4121.08
PORTER,48472.4,4232.11
PORTER,48472.4,39.74
PORTER,40418.0,2656.69
PORTER,48562.2,13328.72
PORTER,29354.51,1405.8
PORTER,48472.4,16682.24
PORTER,48461.5,15093.15
PORTER,48327.88,2550.0
PORTER,20354.2,495.46
PORTER,7640.51,582.9
PORTER,48472.4,2428.28
PORTER,48450.17,3274.1
PORTER,43431.16,3845.15
PORTER,48381.7,2552.32
PORTER,41015.61,2425.68
PORTER,48472.4,17797.95
PORTER,48246.1,9802.35
PORTER,11025.62,697.41
PORTER,8884.46,9.83
PORTER,907.0,74.76
PORTER,48495.1,10608.27
PORTER,48461.07,8312.49
PORTER,48472.4,3368.94
PORTER,48472.4,4981.76
PORTER,48472.4,3321.75
PORTER,39698.72,1843.45
PORTER,48425.66,2571.6
PORTER,40215.2,3013.07
PORTER,48472.4,289.79
PORTER,48146.51,24186.17
PORTER,49436.35,18185.84
PORTER,48472.41,15805.76
PORTER,46163.4,908.31
PORTER,8945.14,224.25
PORTER,46163.4,11981.69
PORTER,48472.4,17921.67
PORTER,46951.38,11040.84
PORTER,48578.51,8346.2
PORTER,40080.93,5653.65
PORTER,48098.7,10745.59
PORTER,48472.4,1515.1
PORTER,48472.4,3412.05
PORTER,15701.01,21.03
PORTER,48472.4,2702.27
PORTER,44435.08,7543.48
PORTER,48086.98,2726.17
PORTER,45531.53,317.95
PORTER,47134.57,291.45
PORTER,48472.4,2427.13
PORTER,48081.6,1190.64
PORTER,48242.82,14852.46
PORTER,48114.62,2826.58
PORTER,47934.55,1775.42
PORTER,29102.01,823.5
PORTER,518.8,725.6
PORTER,48472.45,2503.49
PORTER,45536.37,2649.1
PORTER,30732.68,2859.88
PORTER,16142.83,226.5
PORTER,48472.4,2829.15
PORTER,48266.91,9889.15
PORTER,48472.4,5068.0
PORTER,48472.4,2427.13
PORTER,34983.4,1132.42
PORTER,16645.47,2309.58
PORTER,48472.4,2711.87
PORTER,48472.41,2097.81
PORTER,48472.4,732.8
PORTER,46027.53,5183.62
PORTER,48461.5,2225.92
PORTER,41331.49,4361.49
PORTER,37553.29,325.9
PORTER,47894.31,11621.14
PORTER,48460.36,3125.39
PORTER,44432.44,3516.63
PORTER,25214.6,10519.14
PORTER,18140.0,10045.03
PORTER,47568.71,4394.07
PORTER,45218.31,2301.24
PORTER,48461.5,4258.18
PORTER,48291.0,2338.82
PORTER,48074.96,3120.6
PORTER,48440.23,2571.6
PORTER,46743.58,304.95
PORTER,39937.75,1611.0
PORTER,48472.4,22597.98
PORTER,48472.4,1281.4
PORTER,48472.4,2711.87
PORTER,46478.58,3187.3
PORTER,26121.6,1088.4
PORTER,46954.9,20881.88
PORTER,48472.4,2385.96
PORTER,48443.7,24098.9
PORTER,41876.39,6677.21
PORTER,47620.99,1423.35
PORTER,48472.4,5452.49
PORTER,48461.5,934.56
PORTER,40409.49,2293.27
PORTER,31086.64,9497.02
PORTER,48461.5,2716.0
PORTER,43204.96,4572.68
PORTER,40563.65,2531.86
PORTER,16781.39,235.35
PORTER,11813.75,1069.45
PORTER,48472.4,16314.82
PORTER,47562.65,961.05
PORTER,48472.57,665.45
PORTER,48398.05,2280.75
PORTER,47997.34,2279.49
PORTER,40118.4,1473.6
PORTER,48472.4,3284.4
PORTER,48038.82,1552.47
PORTER,47159.29,4254.8
PORTER,48279.7,3412.05
PORTER,48472.4,2562.0
PORTER,43047.86,4578.73
PORTER,26121.6,823.5
PORTER,16893.5,236.58
PORTER,48472.4,11681.43
PORTER,43293.66,4851.06
PORTER,17930.26,918.34
PORTER,48455.49,3740.1
PORTER,48472.4,1077.62
PORTER,44708.27,3842.68
PORTER,43338.29,1632.46
PORTER,40273.85,874.35
PORTER,48472.4,2959.46
PORTER,48461.51,1600.86
PORTER,27845.98,874.35
PORTER,48510.94,2169.08
PORTER,48245.65,3799.35
PORTER,41405.4,5134.85
PORTER,41399.66,6102.33
PORTER,48472.4,973.07
PORTER,48664.7,4449.67
PORTER,48472.4,2404.52
PORTER,48472.41,274.5
PORTER,43657.56,14290.2
PORTER,47244.13,2098.25
PORTER,46154.2,946.16
PORTER,48670.1,5964.77
PORTER,34468.74,1265.92
PORTER,35917.51,1131.9
PORTER,20554.7,17.27
PORTER,48438.82,30166.96
PORTER,48472.41,8649.23
PORTER,48461.5,9963.31
PORTER,48461.5,9644.71
PORTER,43423.46,6537.44
PORTER,41982.41,10130.19
PORTER,45591.55,26690.78
PORTER,48213.22,6982.23
PORTER,48472.4,2846.7
PORTER,46738.1,840.45
PORTER,48014.35,26646.43
PORTER,48472.4,10639.71
PORTER,48472.4,3443.34
ROOFER,58943.6,3939.35
ROOFER,72658.2,218.85
ROOFER,68076.62,875.4
ROOFER,60443.11,5635.71
ROOFER,72074.63,447.7
ROOFER,73095.9,218.85
ROOFER,54702.05,2845.1
ROOFER,72950.15,3911.99
VENDOR,36065.57,8287.15
VENDOR,41217.63,17449.64
VENDOR,40174.52,1041.62
VENDOR,41217.6,2630.85
VENDOR,35054.82,372.23
VENDOR,20993.48,2304.0
VENDOR,36065.56,9497.69
VENDOR,41217.62,10973.38
VENDOR,36065.56,7158.21
VENDOR,36045.08,15462.61
WELDER,77964.81,114.9
WELDER,66301.22,23584.48
WELDER,68798.66,54828.46
WELDER,77670.21,41939.58
WELDER,77964.8,5062.88
WELDER,77989.86,27503.63
WELDER,76491.8,34363.02
WELDER,61543.27,32586.49
WELDER,24600.57,2157.21
GLAZIER,77615.44,21028.04
GLAZIER,79193.0,485.08
GLAZIER,78561.98,8506.66
GLAZIER,54897.01,236.62
PAINTER,71131.45,6547.34
PAINTER,69694.48,6062.34
PAINTER,55944.92,3520.8
PAINTER,69838.5,14064.62
PAINTER,68401.21,9969.16
PAINTER,71706.3,3852.96
PAINTER,72927.81,53.88
PAINTER,58467.99,6439.53
PAINTER,71311.13,2882.98
PAINTER,32476.2,4149.34
PAINTER,71418.84,4903.77
PAINTER,71275.2,16022.57
PAINTER,70413.08,8379.49
PAINTER,71562.6,4310.99
PAINTER,71275.24,2694.38
PAINTER,22560.9,3448.72
PAINTER,30033.31,538.86
PAINTER,73287.0,4526.54
PAINTER,71562.6,7436.45
PAINTER,68958.04,14172.39
PAINTER,71706.28,7840.64
PAINTER,71706.3,1993.84
PAINTER,63729.14,3421.85
PAINTER,71706.28,6924.55
PAINTER,68394.01,5846.8
PAINTER,70987.8,565.83
PAINTER,34200.6,1293.3
PAINTER,31614.0,431.1
PAINTER,71850.02,6682.05
PAINTER,71993.7,3179.36
PAINTER,70987.8,3394.92
PAINTER,69838.2,5092.35
PAINTER,69392.01,4688.21
PAINTER,37375.68,1508.85
PAINTER,71418.91,9888.36
PAINTER,68537.71,15142.4
PAINTER,71562.6,7113.14
PAINTER,71418.9,7840.62
PAINTER,71921.92,3290.25
PAINTER,71059.74,8999.22
PAINTER,71024.81,2802.15
PAINTER,70269.3,8648.92
PAINTER,71131.51,1185.53
PAINTER,70772.25,484.99
PAINTER,66639.43,1508.86
PAINTER,61844.92,5060.01
PAINTER,71850.0,9645.84
PAINTER,61952.66,1841.16
PAINTER,57156.68,1616.61
PAINTER,71706.3,8029.25
PAINTER,70987.8,5658.2
PAINTER,71993.7,2748.26
PAINTER,70125.6,20099.82
PAINTER,69263.41,18995.16
PAINTER,71850.0,431.1
PAINTER,63695.11,538.87
PAINTER,71479.25,7490.35
PAINTER,37761.47,1562.74
PAINTER,71562.6,2802.15
PAINTER,70700.43,1508.85
PAINTER,49145.4,3879.89
PAINTER,33086.94,538.87
PAINTER,71131.57,6798.79
PAINTER,70269.3,5280.98
PAINTER,70224.39,14549.63
PAINTER,72137.4,1131.64
PAINTER,71993.7,8325.61
PAINTER,70844.1,53.88
PAINTER,68643.77,2424.92
PAINTER,21087.97,431.1
PAINTER,66964.2,2909.92
PAINTER,70987.8,9753.7
PAINTER,71131.5,6224.02
PAINTER,11100.82,431.1
PAINTER,71418.91,4580.44
PAINTER,17585.29,296.38
PAINTER,70718.41,7113.13
PAINTER,71490.76,3951.9
PAINTER,69694.5,14845.92
PAINTER,72424.8,2371.04
PAINTER,70987.8,2613.54
PAINTER,68634.74,538.87
PLUMBER,89735.1,15258.6
PLUMBER,90098.4,136.23
PLUMBER,91551.65,11464.4
PLUMBER,90280.06,9611.62
PLUMBER,89735.15,138.94
PLUMBER,91006.65,7310.55
PLUMBER,86647.06,11273.65
PLUMBER,90280.08,6696.08
PLUMBER,91551.6,8344.56
PLUMBER,57401.4,3632.99
PLUMBER,85588.94,1089.9
PLUMBER,91188.3,45707.93
PLUMBER,60421.32,69.47
PLUMBER,90643.37,382.14
PLUMBER,90280.05,9866.3
PLUMBER,92142.01,74.93
PLUMBER,90643.35,10354.05
PLUMBER,88281.9,12784.55
PLUMBER,90098.44,1566.72
PLUMBER,89371.81,19379.89
PLUMBER,89371.8,13245.76
PLUMBER,89371.81,12397.67
PLUMBER,89735.1,7629.38
PLUMBER,90280.06,13010.93
PLUMBER,90597.94,6282.83
PLUMBER,91369.95,11876.53
PLUMBER,90531.71,5960.35
PLUMBER,89371.8,25742.79
PLUMBER,12715.5,22.71
PLUMBER,88645.25,31062.3
PLUMBER,89008.57,12159.22
PLUMBER,49181.75,1464.54
PLUMBER,90280.06,3303.72
PLUMBER,90280.05,20776.24
PLUMBER,91737.12,1658.72
PLUMBER,90280.06,13270.9
PLUMBER,88100.28,416.88
PLUMBER,43323.54,68.11
PLUMBER,90098.4,12261.38
PLUMBER,90098.4,5350.04
PLUMBER,90098.43,1106.91
PLUMBER,90461.7,4189.26
PLUMBER,89916.8,11580.2
PLUMBER,48318.9,3542.18
PLUMBER,89735.15,23659.68
PLUMBER,88281.94,18664.59
PLUMBER,89735.1,18426.13
PLUMBER,89735.1,1573.56
PLUMBER,80233.0,544.95
PLUMBER,89553.45,15599.19
PLUMBER,91551.62,4238.43
ENGINEER,120937.05,1242.71
GARDENER,60663.83,2639.77
GARDENER,59236.0,2016.81
GARDENER,54987.3,85.1
GARDENER,58528.0,5125.4
GARDENER,55291.56,4956.99
GARDENER,58292.0,1005.58
GARDENER,57581.79,178.77
GARDENER,56390.63,6490.66
GARDENER,50481.32,1096.97
GARDENER,58764.0,5043.16
GARDENER,58528.0,11744.09
GARDENER,56245.65,11325.25
GARDENER,56674.35,5033.23
GARDENER,59000.0,446.92
GARDENER,58292.0,670.38
GARDENER,25102.5,357.54
GARDENER,48502.11,1380.6
GARDENER,55354.7,5999.13
GARDENER,57442.03,10251.89
GARDENER,58528.0,4317.27
GARDENER,57492.52,2932.52
GARDENER,58406.79,1184.13
GARDENER,58401.1,762.49
GARDENER,58592.9,2830.68
GARDENER,54987.3,3708.49
GARDENER,54136.65,15943.03
GARDENER,58292.0,782.12
GARDENER,58174.0,73.68
GARDENER,55592.5,3147.28
GARDENER,55094.3,648.42
GARDENER,58882.0,2750.58
GARDENER,58528.0,3966.78
GARDENER,57731.5,223.47
GARDENER,58410.0,379.89
GARDENER,56447.67,4286.98
GARDENER,58528.0,178.77
GARDENER,55233.4,675.85
GARDENER,58528.0,6525.09
GARDENER,61360.0,2162.96
GARDENER,56939.72,4469.25
GARDENER,49502.48,9330.43
GARDENER,55895.12,2240.19
GARDENER,58528.0,5970.21
GARDENER,58646.0,3547.63
GARDENER,58528.0,3579.17
GARDENER,58764.0,1214.15
GARDENER,51997.61,2033.52
GARDENER,57820.0,4294.24
GARDENER,58528.0,2927.38
GARDENER,59411.0,1307.32
GARDENER,59118.0,7049.92
GARDENER,59000.0,957.79
GARDENER,46072.83,10533.26
GARDENER,33981.64,1117.31
GARDENER,58528.0,1465.06
GARDENER,54249.72,170.13
GARDENER,59769.4,5034.99
GARDENER,50997.58,9092.81
GARDENER,58528.0,1519.56
GARDENER,50677.33,1251.27
GARDENER,38979.24,44.69
GARDENER,57938.0,5956.72
GARDENER,59345.11,3121.88
GARDENER,58764.0,1396.75
GARDENER,46850.89,459.47
GARDENER,36504.82,2712.15
GARDENER,58292.0,1105.15
GARDENER,58412.4,759.77
GARDENER,55674.61,893.84
GARDENER,48649.0,122.52
GARDENER,50732.34,1705.91
GARDENER,48728.22,366.65
GARDENER,59000.0,4946.71
GARDENER,58056.0,147.36
GARDENER,47820.42,4510.82
GARDENER,39179.28,6129.43
GARDENER,58292.0,17985.72
GARDENER,59472.0,9927.04
GARDENER,58528.0,5005.56
GARDENER,49349.32,992.45
GARDENER,48380.0,4576.47
GARDENER,59354.0,6091.14
GARDENER,58292.0,625.7
GARDENER,58528.0,16930.67
GARDENER,58036.9,8219.11
GARDENER,58764.0,992.09
GARDENER,54222.25,5308.69
GARDENER,19992.3,91.9
GARDENER,48675.0,357.54
GARDENER,55357.27,10314.4
GARDENER,57495.5,89.39
GARDENER,46839.53,1240.4
GARDENER,45853.92,1951.55
GARDENER,57584.01,938.55
GARDENER,58176.4,523.48
GARDENER,58292.0,89.39
GARDENER,54773.3,783.48
GARDENER,61360.0,2882.45
GARDENER,56713.91,4879.91
GARDENER,57031.2,170.21
GARDENER,55885.1,1287.31
GARDENER,57820.0,3766.81
GARDENER,59000.0,2078.21
GARDENER,58528.0,491.18
GARDENER,58159.25,1286.29
GARDENER,58056.0,536.31
GARDENER,56404.0,625.69
GARDENER,44847.46,2613.66
GARDENER,52427.61,7395.23
GARDENER,58174.0,122.8
GARDENER,56676.59,1443.47
GARDENER,39560.25,6005.95
GARDENER,58199.96,67.04
GARDENER,51991.01,13437.27
